Package Name,Directory Name,Prefixes,File Numbers,File Names,Globals,VDL ID
ACCOUNTS RECEIVABLE,Accounts Receivable,PRCA,340,AR DEBTOR,,29
,,PRY,341,AR EVENT,,
,,RC,341.1,AR EVENT TYPE,,
,,,342,AR SITE PARAMETER,,
,,,342.1,AR GROUP,,
,,,342.2,AR GROUP TYPE,,
,,,342.3,AR USER CUSTOMIZE,,
,,,343,AR FORM LETTER,,
,,,344,AR BATCH PAYMENT,,
,,,344.1,AR DEPOSIT,,
,,,344.2,AR PAYMENT TRANSACTIONS,,
,,,344.3,EDI LOCKBOX DEPOSIT,,
,,,344.31,EDI THIRD PARTY EFT DETAIL,,
,,,344.4,ELECTRONIC REMITTANCE ADVICE,,
,,,344.49,EDI LOCKBOX EOB WORKLIST,,
,,,344.5,AR EDI LOCKBOX MESSAGES,,
,,,347,AR FMS DOCUMENT,,
,,,347.1,AR FMS DOCUMENT TYPE,,
,,,347.3,REVENUE SOURCE CODE,,
,,,347.4,AR/FMS DOCUMENTS,,
,,,348,AR NATIONAL DATA BASE CRITERIA,,
,,,348.1,BAD DEBT ALLOWANCE,,
,,,348.2,TOP REFUND/REVERSAL CODES,,
,,,348.4,AR DATA QUEUE,,
,,,349,AR TRANSMISSION RECORDS,,
,,,349.1,AR TRANSMISSION TYPE,,
,,,349.2,AR CCPC STATEMENTS,,
,,,349.3,AR RC TRANSMISSIONS,,
,,,349.4,AR RC TRANSACTION CODES,,
,,,349.7,CCPC STATEMENT ERRORS,,
,,,349.8,CCPC ERROR TYPE,,
,,,349.9,AR TRANSMISSION SEGMENTS,,
,,,430,ACCOUNTS RECEIVABLE,,
,,,430.2,ACCOUNTS RECEIVABLE CATEGORY,,
,,,430.3,ACCOUNTS RECEIVABLE TRANS.TYPE,,
,,,430.6,AR DEBT LIST,,
,,,430.8,AR ARCHIVE,,
,,,433,AR TRANSACTION,,
,,,436.1,AR MEDICARE DEDUCTIBLE ALERTS PART A,,
ADVERSE REACTION TRACKING,Adverse Reaction Tracking,GMRA,120.8,PATIENT ALLERGIES,,57
,,GMA,120.82,GMR ALLERGIES,,
,,,120.83,SIGN/SYMPTOMS,,
,,,120.84,GMR ALLERGY SITE PARAMETERS,,
,,,120.85,ADVERSE REACTION REPORTING,,
,,,120.86,ADVERSE REACTION ASSESSMENT,,
,,,120.87,GMRA DOCUMENT,,
ASISTS,Asists,OOPS,2260,ASISTS ACCIDENT REPORTING,,56
,,,2261,ASISTS CHARACTERIZATION OF INJURY,,
,,,2261.1,ASISTS DOL ANATOMICAL LOCATION CODES,,
,,,2261.2,ASISTS CRITICAL TRACKING ISSUES,,
,,,2261.21,ASISTS INCIDENT WEATHER FACTORS,,
,,,2261.22,ASISTS INCIDENT SOURCE,,
,,,2261.24,ASISTS PREVENTION METHODS,,
,,,2261.3,ASISTS PERSONAL PROTECTIVE EQUIPMENT,,
,,,2261.4,ASISTS SETTING OF INJURY,,
,,,2261.5,ASISTS PURPOSE FOR USING SHARPS,,
,,,2261.6,ASISTS OCCURRENCE OF SHARPS INJURY,,
,,,2261.7,ASISTS DEVICE/EQUIPMENT,,
,,,2261.8,ASISTS RESULTS,,
,,,2261.9,ASISTS SAFETY CHARACTERISTICS,,
,,,2262,ASISTS SITE PARAMETER,,
,,,2262.1,ASISTS DOL DISTRICT OFFICE,,
,,,2262.2,ASISTS DEVICE SIZE,,
,,,2262.3,ASISTS NEEDLESTICK BRANDS,,
,,,2262.4,ASISTS REASON FOR CONTROVERT,,
,,,2262.5,ASISTS ADDITIONAL PAY TYPES,,
,,,2262.6,ASISTS STANDARD INDUSTRIAL CLASS. (SIC),,
,,,2262.7,ASISTS N.A. INDUSTRIAL CLASSIFICATION (NAICS),,
,,,2262.8,ASISTS REASON FOR DISPUTE CODES,,
,,,2263,ASISTS DOL TYPE OF INJURY CODES,,
,,,2263.1,ASISTS DOL SOURCE OF INJURY CODES,,
,,,2263.2,ASISTS DOL CAUSE OF INJURY CODES,,
,,,2263.3,ASISTS DOL NATURE OF INJURY CODES,,
,,,2263.5,ASISTS DOL PROVIDER TITLE,,
,,,2263.6,ASISTS OWCP CHARGEBACK CODES,,
,,,2263.7,ASISTS UNION INFORMATION,,
,,,2263.8,ASISTS BODY PART GROUPINGS,,
,,,2264,ASISTS COMPENSATION CLAIM (CA7),,
AUTHORIZATION/SUBSCRIPTION,Authorization Subscription,USR,8930,USR CLASS,,58
,,,8930.1,USR AUTHORIZATION/SUBSCRIPTION,,
,,,8930.2,USR ROLE,,
,,,8930.3,USR CLASS MEMBERSHIP,,
,,,8930.4,USR SEARCH CATEGORIES,,
,,,8930.6,USR RECORD STATUS,,
,,,8930.8,USR ACTION,,
AUTO REPLENISHMENT/WARD STOCK,Auto Replenishment Ward Stock,PSGW,58.1,PHARMACY AOU STOCK,PSI,83
,,,58.16,AOU INVENTORY TYPE,,
,,,58.17,AOU ITEM LOCATION,,
,,,58.19,PHARMACY AOU INVENTORY,,
,,,58.2,AOU INVENTORY GROUP,,
,,,58.3,PHARMACY BACKORDER,,
,,,58.5,AR/WS STATS FILE,,
,,,59.4,INPATIENT SITE,,
AUTOMATED INFO COLLECTION SYS,Automated Information Collection System,IBD,357,ENCOUNTER FORM,,30
,,,357.08,AICS PURGE LOG,,
,,,357.09,ENCOUNTER FORM PARAMETERS,,
,,,357.1,ENCOUNTER FORM BLOCK,,
,,,357.2,SELECTION LIST,,
,,,357.3,SELECTION,,
,,,357.4,SELECTION GROUP,,
,,,357.5,DATA FIELD,,
,,,357.6,PACKAGE INTERFACE,,
,,,357.69,TYPE OF VISIT,,
,,,357.7,FORM LINE,,
,,,357.8,TEXT AREA,,
,,,357.91,MARKING AREA TYPE,,
,,,357.92,PRINT CONDITIONS,,
,,,357.93,MULTIPLE CHOICE FIELD,,
,,,357.94,ENCOUNTER FORM PRINTERS,,
,,,357.95,FORM DEFINITION,,
,,,357.96,ENCOUNTER FORM TRACKING,,
,,,357.97,ENCOUNTER FORM COUNTERS,,
,,,357.98,AICS DATA QUALIFIERS,,
,,,357.99,PRINT MANAGER CLINIC GROUPS,,
,,,358,IMP/EXP ENCOUNTER FORM,,
,,,358.1,IMP/EXP ENCOUNTER FORM BLOCK,,
,,,358.2,IMP/EXP SELECTION LIST,,
,,,358.3,IMP/EXP SELECTION,,
,,,358.4,IMP/EXP SELECTION GROUP,,
,,,358.5,IMP/EXP DATA FIELD,,
,,,358.6,IMP/EXP PACKAGE INTERFACE,,
,,,358.7,IMP/EXP FORM LINE,,
,,,358.8,IMP/EXP TEXT AREA,,
,,,358.91,IMP/EXP MARKING AREA,,
,,,358.93,IMP/EXP MULTIPLE CHOICE FIELD,,
,,,358.94,IMP/EXP HAND PRINT FIELD,,
,,,358.98,IMP/EXP AICS DATA QUALIFIERS,,
,,,358.99,IMP/EXP AICS DATA ELEMENTS,,
,,,359,CONVERTED FORMS,,
,,,359.1,AICS DATA ELEMENTS,,
,,,359.2,FORM SPECS,,
,,,359.3,AICS ERROR AND WARNING LOG,,
,,,359.94,HAND PRINT FIELD,,
,,,409.95,PRINT MANAGER CLINIC SETUP,,
,,,409.96,PRINT MANAGER DIVISION SETUP,,
AUTOMATED LAB INSTRUMENTS,Automated Lab Instruments,LA,61.39,LABORATORY INSTRUMENT CODE,,71
,,,62.48,LA7 MESSAGE PARAMETER,,
,,,62.485,LA7 MESSAGE LOG BULLETINS,,
,,,62.487,FOREIGN INTERFACE,,
,,,62.49,LA7 MESSAGE QUEUE,,
,,,62.8,LAB SHIPPING MANIFEST,,
,,,62.85,LAB SHIPPING EVENT,,
,,,62.9,LAB SHIPPING CONFIGURATION,,
,,,62.91,LAB SHIPPING CONTAINER,,
,,,62.92,LAB SHIPPING METHOD,,
,,,62.93,LAB SHIPPING CONDITIONS,,
AUTOMATED MED INFO EXCHANGE,Automated Medical Information Exchange,DVBA,396,FORM 7131,,31
,,DVBC,396.1,AMIE SITE PARAMETER,,
,,,396.15,CAPRI DIVISION EXAM LIST,,
,,,396.17,CAPRI TEMPLATES,,
,,,396.18,CAPRI TEMPLATE DEFINITIONS,,
,,,396.2,AMIE REPORT,,
,,,396.3,2507 REQUEST,,
,,,396.4,2507 EXAM,,
,,,396.5,2507 CANCELLATION REASON,,
,,,396.6,AMIE EXAM,,
,,,396.7,2507 BODY SYSTEM,,
,,,396.9,FORM 28-8861,,
,,,396.918,MEDICAL SERVICES REQUESTED,,
,,,396.94,2507 INSUFFICIENT REASONS,,
,,,396.95,AMIE C&P EXAM TRACKING,,
BAR CODE MED ADMIN,Barcode Medication Administration,PSB,53.66,BCMA IV PARAMETERS,,84
,,ALPB,53.68,BCMA MISSING DOSE REQUEST,,
,,,53.69,BCMA REPORT REQUEST,,
,,,53.7,BCMA BACKUP DATA,,
,,,53.71,BCMA BACKUP PARAMETERS,,
,,,53.77,BCMA UNABLE TO SCAN LOG,,
,,,53.78,BCMA MEDICATION VARIANCE LOG,,
,,,53.79,BCMA MEDICATION LOG,,
BENEFICIARY TRAVEL,Beneficiary Travel,DGBT,392,BENEFICIARY TRAVEL CLAIM,,123
,,,392.1,BENEFICIARY TRAVEL DISTANCE,,
,,,392.2,BENEFICIARY TRAVEL CERTIFICATION,,
,,,392.3,BENEFICIARY TRAVEL ACCOUNT,,
,,,392.31,LOCAL VENDOR,,
,,,392.4,BENEFICIARY TRAVEL MODE OF TRANSPORTATION,,
,,,392.41,BT CLAIM ELIGIBILITY CODE,,
,,,392.42,BT SPECIAL MODE OF TRANSPORTATION,,
,,,392.43,BT COMMON CARRIER MODE OF TRANSPORTATION,,
,,,392.5,BENEFICIARY TRAVEL DASHBOARD CONFIG,,
,,,392.51,BENEFICIARY TRAVEL DASHBOARD AUDIT,,
,,,392.6,BENEFICIARY TRAVEL DENIAL LETTERS,,
,,,392.7,BENEFICIARY TRAVEL MANUAL DEUCTIBLE WAIVER,,
,,,392.8,BENEFICIARY TRAVEL DENIAL REASONS,,
,,,392.9,BT PATIENT ALTERNATE INCOME,,
CAPACITY MANAGEMENT - RUM,Capacity Management - RUM,KMPR,8971.1,RESOURCE USAGE MONITOR,,130
CAPACITY MANAGEMENT TOOLS,Capacity Management Tools,KMPD,8972.1,CP CODE EVALUATOR,,129
,,,8972.3,CP DATA ELEMENTS,,
,,,8973,CP PARAMETERS,,
,,,8973.1,CM HL7 DATA,,
,,,8973.2,CP TIMING,,
,,,8973.3,CP REPORTS,,
CARE MANAGEMENT,Care Management,ORRC,102.21,CPRS QUERY DEFINITION,,138
,,,102.3,PATIENT TASK,,
,,,102.4,ORDER ACKNOWLEDGEMENT,,
CLINICAL CASE REGISTRIES,Clinical Case Registries,ROR,798,ROR REGISTRY RECORD,,126
,,IMR,798.1,ROR REGISTRY PARAMETERS,,
,,,798.2,ROR SELECTION RULE,,
,,,798.3,ROR PATIENT EVENTS,,
,,,798.4,ROR PATIENT,,
,,,798.5,ROR ICD SEARCH,,
,,,798.6,ROR PHARMACY CODE,,
,,,798.7,ROR LOG,,
,,,798.8,ROR TASK,,
,,,798.9,ROR LAB SEARCH,,
,,,799.1,ROR LIST ITEM,,
,,,799.2,ROR METADATA,,
,,,799.31,ROR XML ITEM,,
,,,799.33,ROR DATA AREA,,
,,,799.34,ROR REPORT PARAMETERS,,
,,,799.4,ROR HIV RECORD,,
,,,799.49,ROR AIDS INDICATOR DISEASE,,
,,,799.51,ROR GENERIC DRUG,,
,,,799.53,ROR LOCAL FIELD,,
,,,799.6,ROR HISTORICAL DATA EXTRACTION,,
CLINICAL INFO RESOURCE NETWORK,Clinical Information Resource Network,RG,990.8,CIRN REPOSITORY SITE PARAMETER,,16
,,MRF,991.1,CIRN HL7 EXCEPTION LOG,,
,,!RGED,991.11,CIRN HL7 EXCEPTION TYPE,,
,,!RGUT,991.8,CIRN SITE PARAMETER,,
,,!RGWB,995,CIRN EVENT ASSOCIATION,,
,,,995.1,CIRN EVENT EXCEPTION,,
,,,995.2,CIRN EVENT STATISTICS,,
CLINICAL MONITORING SYSTEM,Clinical Monitoring System,QAM,743,QA MONITOR,,32
,,,743.1,FALL OUT,,
,,,743.2,MONITOR HISTORY,,
,,,743.3,CONDITION,,
,,,743.4,DATA ELEMENT,,
,,,743.5,GROUP,,
,,,743.6,AUTO ENROLL RUN DATE,,
,,,743.91,RATIONALE,,
,,,743.92,TIME FRAME,,
CLINICAL PROCEDURES,Clinical Procedures,MD,702,CP TRANSACTION,,139
,,,702.001,CP_TRANSACTION_TIU_HISTORY,,
,,,702.01,CP DEFINITION,,
,,,702.09,CP INSTRUMENT,,
,,,703.1,CP RESULT REPORT,,
,,,703.9,CP CONVERSION,,
,,,704.001,CP_CONSOLE_ACL,,
,,,704.002,CP_HL7_LOG,,
,,,704.004,CP_HL7_LOG_REASON,,
,,,704.005,CP_MOVEMENT_AUDIT,,
,,,704.006,CP_PROTOCOL_LOCATION,,
,,,704.007,CP_SHIFT,,
,,,704.008,CP_SCHEDULE,,
,,,704.101,TERM,,
,,,704.102,TERM_TYPE,,
,,,704.103,TERM_QUALIFIER_PAIR,,
,,,704.104,TERM_UNIT_CONVERSION,,
,,,704.105,TERM_UNIT_PAIR,,
,,,704.106,TERM_CHILD_PAIR,,
,,,704.107,TERM_RANGE_CHECK,,
,,,704.108,TERM_MAPPING_TABLE,,
,,,704.109,TERM_MAPPING_PAIR,,
,,,704.111,OBS_VIEW,,
,,,704.1111,OBS_VIEW_TERMINOLOGY,,
,,,704.1112,OBS_VIEW_FILTER,,
,,,704.112,OBS_FLOWSHEET,,
,,,704.1121,OBS_FLOWSHEET_PAGE,,
,,,704.1122,OBS_FLOWSHEET_SUPP_PAGE,,
,,,704.1123,OBS_FLOWSHEET_TOTAL,,
,,,704.113,OBS_TOTAL,,
,,,704.1131,OBS_TOTAL_TERMINOLOGY,,
,,,704.115,OBS_ALARM,,
,,,704.116,OBS_SET,,
,,,704.1161,OBS_SET_OBS_PAIR,,
,,,704.117,OBS,,
,,,704.118,OBS_QUALIFIER,,
,,,704.119,OBS_AUDIT,,
,,,704.121,CP_KARDEX_ACTION,,
,,,704.1211,CP_KARDEX_EVENTS,,
,,,704.1212,CP_KARDEX_AUDIT,,
,,,704.201,HEMODIALYSIS ACCESS POINTS,,
,,,704.202,HEMODIALYSIS STUDY,,
,,,704.209,HEMODIALYSIS SETTINGS,,
CLINICAL REMINDERS,Clinical Reminders,PXRM,800,CLINICAL REMINDER PARAMETERS,,60
,,,801.41,REMINDER DIALOG,,
,,,801.42,REMINDER GUI PROCESS,,
,,,801.43,REMINDER FINDING ITEM PARAMETER,,
,,,801.45,REMINDER FINDING TYPE PARAMETER,,
,,,801.5,REMINDER DIALOG PATIENT ASSOCIATION,,
,,,801.55,REMINDER GEC DIALOG ASSOCIATION HISTORY,,
,,,801.9,REMINDER RESOLUTION STATUS,,
,,,801.95,HEALTH FACTOR RESOLUTION,,
,,,802.4,REMINDER FUNCTION FINDING FUNCTIONS,,
,,,810.1,REMINDER REPORT TEMPLATE,,
,,,810.2,REMINDER EXTRACT DEFINITION,,
,,,810.3,REMINDER EXTRACT SUMMARY,,
,,,810.4,REMINDER LIST RULE,,
,,,810.5,REMINDER PATIENT LIST,,
,,,810.7,REMINDER EXTRACT COUNTING RULE,,
,,,810.8,REMINDER COUNTING GROUP,,
,,,810.9,REMINDER LOCATION LIST,,
,,,811.2,REMINDER TAXONOMY,,
,,,811.3,EXPANDED TAXONOMIES,,
,,,811.4,REMINDER COMPUTED FINDINGS,,
,,,811.5,REMINDER TERM,,
,,,811.6,REMINDER SPONSOR,,
,,,811.7,REMINDER CATEGORY,,
,,,811.8,REMINDER EXCHANGE,,
,,,811.9,REMINDER DEFINITION,,
CMOP,CMOP,PSX,550,CMOP SYSTEM,,85
,,,550.1,CMOP RX QUEUE,,
,,,550.2,CMOP TRANSMISSION,,
,,,552,CMOP NATIONAL SITE,,
,,,552.1,CMOP REFERENCE,,
,,,552.2,CMOP DATABASE,,
,,,552.3,CMOP RELEASE,,
,,,552.4,CMOP MASTER DATABASE,,
,,,552.5,CMOP COST STATS,,
,,,553,CMOP INTERFACE,,
,,,553.1,CMOP QUERY,,
,,,554,CMOP OPERATIONS,,
,,,555,CMOP MASTER DATABASE ARCHIVE,,
COMMUNICATIONS SERVICE LIBRARY,Communications Service Library,CSL,,,,
CONSULT/REQUEST TRACKING,Consult Request Tracking,GMRC,123,REQUEST/CONSULTATION,,62
,,GMRS,123.1,REQUEST ACTION TYPES,,
,,GMRT,123.3,GMRC PROCEDURE,,
,,,123.5,REQUEST SERVICES,,
,,,123.6,IFC MESSAGE LOG,,
,,,123.9,CONSULTS PARAMETERS FILE,,
CONTROLLED SUBSTANCES,Controlled Substances,PSD,58.82,CS ORDER STATUS,,86
,,,58.83,CS COMPLETION STATUS,,
,,,58.85,CS WORKSHEET,,
,,,58.86,CS DESTRUCTION,,
,,,58.87,CS CORRECTION LOG,,
,,,58.88,CS IRL PROGRAM,,
,,,58.89,CS ERROR LOG,,
CORBA SERVICES,CORBA Services,OMG,,,,
CPRS PLUGINS,CPRS Plugins,ORRJ,,,,
CPT/HCPCS CODES,CPT HCPCS Codes,ICPT,81,CPT,,33
,,DGYA,81.1,CPT CATEGORY,,
,,,81.2,CPT COPYRIGHT,,
,,,81.3,CPT MODIFIER,,
DENTAL,Dental,DENT,220,DENTAL PATIENT,,66
,,,220.2,DENTAL CLASSIFICATION,,
,,,220.3,DENTAL TYPE OF SERVICE,,
,,,220.4,DENTAL BED SECTION,,
,,,220.5,DENTAL PROVIDER,,
,,,220.51,DENTAL PROVIDER TYPE,,
,,,220.52,DENTAL PROVIDER SPECIALTY,,
,,,220.6,DENTAL SCREEN (USER),,
,,,221,DENTAL TREATMENT (AMIS),,
,,,222,DENTAL FEE BASIS (AMIS),,
,,,223,DENTAL CLASS I-VI (AMIS),,
,,,224,DENTAL PERSONNEL (AMIS),,
,,,225,DENTAL SITE PARAMETERS,,
,,,226,DENTAL NON CLINICAL TIME,,
,,,227,DENTAL CANNED COMMENTS,,
DIETETICS,Dietetics,FH,111,DIETS,,67
,,,111.1,DIET PATTERNS,,
,,,112,FOOD NUTRIENTS,,
,,,112.2,DRI VALUES,,
,,,112.6,USER MENU,,
,,,113,INGREDIENT,,
,,,113.1,STORAGE LOCATION,,
,,,113.2,FH VENDOR,,
,,,114,RECIPE,,
,,,114.1,RECIPE CATEGORY,,
,,,114.2,PREPARATION AREA,,
,,,114.3,SERVING UTENSIL,,
,,,114.4,EQUIPMENT,,
,,,115,NUTRITION PERSON,,
,,,115.2,FOOD PREFERENCES,,
,,,115.3,NUTRITION CLASSIFICATION,,
,,,115.4,NUTRITION STATUS,,
,,,115.5,DIETETIC NUTRITION PLAN,,
,,,115.6,ENCOUNTER TYPES,,
,,,115.7,DIETETIC ENCOUNTERS,,
,,,116,MENU CYCLE,,
,,,116.1,MEAL,,
,,,116.2,PRODUCTION DIET,,
,,,116.3,HOLIDAY MEALS,,
,,,117,MEALS SERVED,,
,,,117.1,STAFFING DATA,,
,,,117.2,DIETETIC COST OF MEALS,,
,,,117.3,ANNUAL REPORT,,
,,,117.4,DIETETIC REPORT CATEGORIES,,
,,,118,SUPPLEMENTAL FEEDINGS,,
,,,118.1,SUPPLEMENTAL FEEDING MENU,,
,,,118.2,TUBEFEEDING,,
,,,118.3,STANDING ORDERS,,
,,,119,DIETITIAN TICKLER FILE,,
,,,119.1,UNITS,,
,,,119.4,ISOLATION/PRECAUTION TYPE,,
,,,119.5,DIETETIC CONSULTS,,
,,,119.6,NUTRITION LOCATION,,
,,,119.71,PRODUCTION FACILITY,,
,,,119.72,SERVICE POINT,,
,,,119.73,COMMUNICATION OFFICE,,
,,,119.74,SUPPLEMENTAL FEEDING SITE,,
,,,119.8,NUTRITION EVENTS,,
,,,119.9,FH SITE PARAMETERS,,
DRG GROUPER,DRG Grouper,ICD,80,ICD DIAGNOSIS,,36
,,IC,80.1,ICD OPERATION/PROCEDURE,,
,,!ICPT,80.2,DRG,,
,,,80.3,MAJOR DIAGNOSTIC CATEGORY,,
,,,80.7,TEMPORARY DIAGNOSES,,
,,,80.8,TEMPORARY PROCEDURES,,
,,,80.9,TEMPORARY DRG FILE,,
DRUG ACCOUNTABILITY,Drug Accountability,PSA,58.35,RETURN DRUG,,87
,,,58.36,RETURN DRUG CONTRACTOR,,
,,,58.8,DRUG ACCOUNTABILITY STATS,,
,,,58.81,DRUG ACCOUNTABILITY TRANSACTION,,
,,,58.811,DRUG ACCOUNTABILITY ORDER,,
,,,58.812,DA UPLOAD,,
,,,58.84,DRUG ACCOUNTABILITY TRANSACTION TYPE,,
DSS EXTRACTS,DSS Extracts,ECX,727,DSS EXTRACT LOG,,35
,,,727.1,EXTRACT DEFINITIONS,,
,,,727.2,DSS LAB TESTS,,
,,,727.29,DSS LOINC FILE,,
,,,727.3,DSS DIVISION IDENTIFIER,,
,,,727.4,DSS WARD,,
,,,727.5,DSS MH TESTS,,
,,,727.7,LAB RESULTS TRANSLATION,,
,,,727.802,ADMISSION EXTRACT,,
,,,727.804,CLINIC NOSHOW EXTRACT,,
,,,727.805,NURSING EXTRACT,,
,,,727.806,DENTAL EXTRACT,,
,,,727.808,PHYSICAL MOVEMENT EXTRACT,,
,,,727.809,UNIT DOSE LOCAL EXTRACT,,
,,,727.81,PRESCRIPTION EXTRACT,,
,,,727.811,SURGERY EXTRACT,,
,,,727.812,MENTAL HEALTH EXTRACT,,
,,,727.813,LABORATORY EXTRACT,,
,,,727.814,RADIOLOGY EXTRACT,,
,,,727.815,EVENT CAPTURE LOCAL EXTRACT,,
,,,727.816,CLINIC I EXTRACT,,
,,,727.817,TREATING SPECIALTY CHANGE EXTRACT,,
,,,727.818,CLINIC II EXTRACT,,
,,,727.819,IV DETAIL EXTRACT,,
,,,727.82,ADMISSION SETUP EXTRACT,,
,,,727.821,PHYSICAL MOVEMENT SETUP EXTRACT,,
,,,727.822,TREATING SPECIALTY CHANGE SETUP EXTRACT,,
,,,727.823,PAI EXTRACT,,
,,,727.824,LAB RESULTS EXTRACT,,
,,,727.825,QUASAR EXTRACT,,
,,,727.826,PROSTHETICS EXTRACT,,
,,,727.827,CLINIC EXTRACT,,
,,,727.829,BLOOD BANK EXTRACT,,
,,,727.831,DSS TREATING SPECIALTY TRANSLATION,,
,,,727.832,NUTRITION EXTRACT,,
,,,727.833,BCMA EXTRACT,,
,,,728,DSS EXTRACTS,,
,,,728.113,IV EXTRACT DATA,,
,,,728.44,CLINICS AND STOP CODES,,
,,,728.441,NATIONAL CLINIC,,
,,,728.45,DSS NUTRITION PRODUCT WORKSHEET,,
,,,728.46,DSS NUTRITION DIVISION WORKSHEET,,
,,,728.506,DSS DRUG PRODUCT CODE,,
,,,728.904,UNIT DOSE EXTRACT DATA,,
,,,729,DSS PRODUCTION UNIT,,
E CLAIMS MGMT ENGINE,E Claims Management Engine,BPS,9002313.02,BPS CLAIMS,,141
,,,9002313.03,BPS RESPONSES,,
,,,9002313.12,BPS LOG,,
,,,9002313.15,BPS ASLEEP PAYERS,,
,,,9002313.19,BPS NCPDP PATIENT RELATIONSHIP CODE,,
,,,9002313.21,BPS NCPDP PROFESSIONAL SERVICE CODE,,
,,,9002313.22,BPS NCPDP RESULT OF SERVICE CODE,,
,,,9002313.23,BPS NCPDP REASON FOR SERVICE CODE,,
,,,9002313.24,BPS NCPDP DAW CODE,,
,,,9002313.25,BPS NCPDP CLARIFICATION CODES,,
,,,9002313.26,BPS NCPDP PRIOR AUTHORIZATION TYPE CODE,,
,,,9002313.27,BPS NCPDP PATIENT RESIDENCE CODE,,
,,,9002313.28,BPS NCPDP PHARMACY SERVICE TYPE,,
,,,9002313.29,BPS NCPDP DELAY REASON CODE,,
,,,9002313.31,BPS CERTIFICATION,,
,,,9002313.32,BPS PAYER RESPONSE OVERRIDES,,
,,,9002313.511,BPS NCPDP OVERRIDE,,
,,,9002313.56,BPS PHARMACIES,,
,,,9002313.57,BPS LOG OF TRANSACTIONS,,
,,,9002313.58,BPS STATISTICS,,
,,,9002313.59,BPS TRANSACTION,,
,,,9002313.77,BPS REQUESTS,,
,,,9002313.78,BPS INSURER DATA,,
,,,9002313.83,BPS RESULT CATEGORY,,
,,,9002313.89,BPS ERROR CODES,,
,,,9002313.91,BPS NCPDP FIELD DEFS,,
,,,9002313.92,BPS NCPDP FORMATS,,
,,,9002313.93,BPS NCPDP REJECT CODES,,
,,,9002313.94,BPS NCPDP FIELD CODES,,
,,,9002313.99,BPS SETUP,,
EEO COMPLAINT TRACKING,EEO Complaint Tracking,EEO,785,EEO COMPLAINTS,,
,,,785.1,EEO COMPLAINT BASIS,,
,,,785.2,EEO CORRECTIVE ACTIONS,,
,,,785.5,EEO INFORMAL COMPLAINTS,,
,,,786,EEO COMPLAINT ISSUE CODES,,
,,,787.5,EEO CENTRAL INVESTIGATORS,,
,,,789.5,EEO SERVER PARAMETERS,,
ELECTRONIC SIGNATURE,Electronic Signature,XOBE,,,,171
EMERGENCY DEPARTMENT INTEGRATION SOFTWARE,Emergency Department Integration Software,EDP,230,ED LOG,,179
,,,230.1,ED LOG HISTORY,,
,,,231.6,TRACKING BOARD,,
,,,231.7,TRACKING STAFF,,
